"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","01-Jan-2021","        946.15","        942.00","        955.50","        942.00","        950.25","        950.50","        950.65","    3142822","          2987712518.10","      52922","     650483","         20.70"
"HCLTECH","EQ","04-Jan-2021","        950.50","        959.00","        984.70","        952.65","        978.30","        980.40","        968.71","    5259092","          5094523210.90","      96212","    1516329","         28.83"
"HCLTECH","EQ","05-Jan-2021","        980.40","        967.20","        995.80","        967.20","        992.50","        991.35","        985.02","    7150252","          7043170176.50","     121058","    2090745","         29.24"
"HCLTECH","EQ","06-Jan-2021","        991.35","        997.90","        998.00","        966.10","        976.00","        978.20","        984.98","    5995748","          5905668068.15","     142578","    1618747","         27.00"
"HCLTECH","EQ","07-Jan-2021","        978.20","        988.00","        988.20","        959.40","        963.90","        962.55","        969.71","    5261000","          5101642454.65","     104038","    2179991","         41.44"
"HCLTECH","EQ","08-Jan-2021","        962.55","        974.90","       1003.50","        970.00","        994.15","        994.65","        986.68","    8034775","          7927736978.75","     112810","    2810366","         34.98"
"HCLTECH","EQ","11-Jan-2021","        994.65","       1015.00","       1059.05","       1008.00","       1053.25","       1055.10","       1033.95","   13384331","         13838751594.30","     259727","    3310390","         24.73"
"HCLTECH","EQ","12-Jan-2021","       1055.10","       1052.00","       1065.05","       1038.70","       1064.00","       1062.10","       1049.24","    6700542","          7030502202.05","     183794","    2256014","         33.67"
"HCLTECH","EQ","13-Jan-2021","       1062.10","       1064.00","       1067.00","       1041.00","       1057.00","       1055.95","       1054.37","    6691409","          7055244429.80","     139957","    2642687","         39.49"
"HCLTECH","EQ","14-Jan-2021","       1055.95","       1049.00","       1049.00","       1006.60","       1031.00","       1027.70","       1026.49","   15021108","         15419088647.25","     349280","    6044427","         40.24"
"HCLTECH","EQ","15-Jan-2021","       1027.70","       1047.65","       1052.85","        984.00","        989.00","        989.80","       1009.81","   23769415","         24002697489.25","     463474","    6898115","         29.02"
"HCLTECH","EQ","18-Jan-2021","        989.80","       1000.00","       1004.95","        976.90","        978.10","        981.50","        990.09","   12947569","         12819240554.90","     256612","    3795828","         29.32"
"HCLTECH","EQ","19-Jan-2021","        981.50","        988.00","        997.00","        979.35","        987.00","        983.85","        985.98","    6387923","          6298346813.15","     168528","    2324669","         36.39"
"HCLTECH","EQ","20-Jan-2021","        983.85","        991.75","       1009.65","        987.55","        997.50","        999.25","       1001.18","    7444118","          7452887783.00","     153672","    2855089","         38.35"
"HCLTECH","EQ","21-Jan-2021","        999.25","       1009.00","       1020.00","        982.95","        991.50","        993.30","       1003.92","    8857975","          8892726373.60","     185089","    3298387","         37.24"
"HCLTECH","EQ","22-Jan-2021","        993.30","        991.70","       1004.00","        981.40","        985.95","        985.80","        990.00","    5379466","          5325689212.60","     182218","    2499181","         46.46"
"HCLTECH","EQ","25-Jan-2021","        985.80","        997.00","        997.00","        941.00","        948.00","        947.50","        966.54","    7731883","          7473144666.95","     325690","    3314036","         42.86"
"HCLTECH","EQ","27-Jan-2021","        947.50","        952.10","        963.25","        942.50","        957.40","        955.50","        955.55","    7531736","          7196966517.55","     247705","    3221736","         42.78"
"HCLTECH","EQ","28-Jan-2021","        955.50","        948.80","        952.40","        930.10","        932.00","        933.95","        941.03","    6960905","          6550446434.55","     191909","    3198715","         45.95"
"HCLTECH","EQ","29-Jan-2021","        933.95","        941.00","        949.50","        909.50","        914.50","        914.00","        927.73","    7692663","          7136714192.85","     160581","    3442797","         44.75"
"HCLTECH","EQ","01-Feb-2021","        914.00","        919.00","        933.75","        896.35","        932.10","        928.35","        915.30","    8651478","          7918681533.35","     208551","    4001582","         46.25"
"HCLTECH","EQ","02-Feb-2021","        928.35","        947.00","        963.00","        935.55","        956.10","        954.65","        948.74","    7690178","          7296013605.45","     152162","    3437900","         44.71"
"HCLTECH","EQ","03-Feb-2021","        954.65","        966.00","        973.30","        952.55","        961.95","        959.90","        964.84","    6354619","          6131162758.05","     142811","    2857279","         44.96"
"HCLTECH","EQ","04-Feb-2021","        959.90","        964.70","        970.45","        950.15","        957.00","        957.65","        959.52","    4623148","          4435996887.05","     129604","    1939632","         41.95"
"HCLTECH","EQ","05-Feb-2021","        957.65","        960.80","        963.90","        940.05","        947.85","        946.15","        949.12","    4631703","          4396026613.25","     104547","    1957789","         42.27"
"HCLTECH","EQ","08-Feb-2021","        946.15","        955.00","        964.40","        941.35","        959.50","        957.75","        954.03","    6509526","          6210315010.00","     172264","    2599006","         39.93"
"HCLTECH","EQ","09-Feb-2021","        957.75","        965.00","        981.90","        946.60","        955.00","        951.60","        966.24","    7557977","          7302790839.05","     147283","    2150239","         28.45"
"HCLTECH","EQ","10-Feb-2021","        951.60","        955.05","        965.10","        946.15","        960.70","        959.45","        955.87","    4896963","          4680840478.20","     113186","    1728568","         35.30"
"HCLTECH","EQ","11-Feb-2021","        959.45","        959.45","        972.50","        953.05","        972.00","        970.40","        964.93","    3745595","          3614239422.25","     107544","    1333671","         35.61"
"HCLTECH","EQ","12-Feb-2021","        970.40","        975.00","        986.50","        957.60","        962.80","        960.40","        974.32","    8045740","          7839128738.95","     152352","    1838062","         22.85"
"HCLTECH","EQ","15-Feb-2021","        960.40","        970.00","        971.25","        950.10","        955.80","        954.65","        957.08","    4643228","          4443954017.15","     196711","    1883653","         40.57"
"HCLTECH","EQ","16-Feb-2021","        954.65","        957.00","        962.25","        944.10","        953.20","        952.30","        952.29","    3277086","          3120729721.75","     100939","    1081792","         33.01"
"HCLTECH","EQ","17-Feb-2021","        952.30","        952.00","        958.40","        941.00","        943.00","        943.20","        946.95","    3643176","          3449887496.30","      98699","    1551623","         42.59"
"HCLTECH","EQ","18-Feb-2021","        943.20","        944.00","        956.75","        938.35","        950.00","        948.10","        947.26","    5133094","          4862356031.00","     160532","    2427129","         47.28"
"HCLTECH","EQ","19-Feb-2021","        948.10","        950.00","        958.00","        944.45","        949.90","        950.15","        951.79","    5494816","          5229937782.50","     127863","    2041991","         37.16"
"HCLTECH","EQ","22-Feb-2021","        950.15","        949.50","        951.45","        916.05","        918.60","        920.15","        930.32","    5043203","          4691780610.25","     154368","    2073660","         41.12"
"HCLTECH","EQ","23-Feb-2021","        920.15","        924.00","        930.00","        906.55","        911.45","        909.95","        916.56","    5916942","          5423238918.80","     154991","    2659120","         44.94"
"HCLTECH","EQ","24-Feb-2021","        909.95","        918.00","        919.45","        905.50","        913.00","        916.00","        913.47","    3435827","          3138512395.50","      97531","    1484104","         43.19"
"HCLTECH","EQ","25-Feb-2021","        916.00","        925.90","        934.05","        922.15","        931.80","        929.25","        929.63","    6234947","          5796172592.50","     203430","    4088415","         65.57"
"HCLTECH","EQ","26-Feb-2021","        929.25","        908.00","        925.00","        905.10","        911.00","        909.45","        914.25","    9198218","          8409490272.50","     215577","    5082547","         55.26"
"HCLTECH","EQ","01-Mar-2021","        909.45","        916.00","        934.45","        915.65","        931.00","        930.35","        929.18","    5397960","          5015649590.60","     133976","    2777607","         51.46"
"HCLTECH","EQ","02-Mar-2021","        930.35","        933.85","        957.90","        928.60","        952.00","        953.75","        945.40","    6715548","          6348872636.50","     141499","    2925252","         43.56"
"HCLTECH","EQ","03-Mar-2021","        953.75","        965.00","        968.00","        947.00","        963.35","        965.25","        959.91","    5742015","          5511805742.25","     123910","    2663131","         46.38"
"HCLTECH","EQ","04-Mar-2021","        965.25","        952.00","        969.90","        951.35","        960.25","        958.00","        961.42","    6268541","          6026676809.75","     140258","    2769131","         44.18"
"HCLTECH","EQ","05-Mar-2021","        958.00","        956.10","        972.00","        936.30","        943.75","        941.50","        958.30","    5992152","          5742263104.90","     122836","    2359058","         39.37"
"HCLTECH","EQ","08-Mar-2021","        941.50","        952.50","        973.00","        944.00","        964.10","        961.90","        962.03","    5621823","          5408357440.40","     112495","    2006147","         35.68"
"HCLTECH","EQ","09-Mar-2021","        961.90","        964.10","        976.90","        949.10","        976.10","        973.15","        964.46","    5440319","          5246947170.85","     142977","    2873015","         52.81"
"HCLTECH","EQ","10-Mar-2021","        973.15","        985.70","        995.10","        979.70","        987.00","        988.50","        988.27","    7694950","          7604716573.90","     183049","    2968905","         38.58"
"HCLTECH","EQ","12-Mar-2021","        988.50","        988.50","       1002.80","        973.60","        980.00","        979.25","        989.42","    6447010","          6378779711.90","     189085","    2999479","         46.53"
"HCLTECH","EQ","15-Mar-2021","        979.25","        977.50","        994.35","        967.35","        992.85","        992.35","        987.45","    5321081","          5254306042.35","     141690","    2406753","         45.23"
"HCLTECH","EQ","16-Mar-2021","        992.35","        993.00","       1018.80","        990.45","       1008.05","       1007.25","       1008.92","    8094575","          8166798678.25","     180173","    3657490","         45.18"
"HCLTECH","EQ","17-Mar-2021","       1007.25","       1012.00","       1023.90","        982.70","        990.50","        987.45","       1005.80","    6758901","          6798122996.00","     166390","    3002221","         44.42"
"HCLTECH","EQ","18-Mar-2021","        987.45","        995.00","        999.75","        932.40","        953.15","        947.75","        965.46","    8269566","          7983906382.40","     187399","    3152298","         38.12"
"HCLTECH","EQ","19-Mar-2021","        947.75","        950.00","        969.00","        937.70","        962.00","        960.45","        959.16","    9004154","          8636397808.00","     173072","    3079837","         34.20"
"HCLTECH","EQ","22-Mar-2021","        960.45","        960.45","        982.45","        944.60","        977.05","        978.75","        967.35","    4745254","          4590319099.40","     118618","    1890607","         39.84"
"HCLTECH","EQ","23-Mar-2021","        978.75","        983.65","        992.90","        971.80","        981.00","        980.85","        982.19","    5158305","          5066421078.55","     135696","    2022448","         39.21"
"HCLTECH","EQ","24-Mar-2021","        980.85","        971.05","        984.75","        965.80","        974.55","        975.65","        977.25","    3874331","          3786179051.65","      88387","    1527159","         39.42"
"HCLTECH","EQ","25-Mar-2021","        975.65","        970.00","        974.50","        950.00","        962.00","        957.05","        965.24","    4879437","          4709828579.65","     110892","    2225205","         45.60"
"HCLTECH","EQ","26-Mar-2021","        957.05","        965.00","        975.00","        953.80","        960.00","        958.55","        962.80","    4271178","          4112272425.60","      96782","    2107168","         49.33"
"HCLTECH","EQ","30-Mar-2021","        958.55","        965.00","       1000.80","        964.45","        995.10","        995.80","        986.21","    5475051","          5399551432.65","     121367","    2381501","         43.50"
"HCLTECH","EQ","31-Mar-2021","        995.80","       1000.00","       1000.00","        978.65","        984.10","        982.65","        988.70","    4445140","          4394922519.45","      91412","    1481223","         33.32"
"HCLTECH","EQ","01-Apr-2021","        982.65","        992.00","       1013.50","        990.60","       1000.60","       1002.60","       1004.36","    5269079","          5292029105.00","      97439","    1518707","         28.82"
"HCLTECH","EQ","05-Apr-2021","       1002.60","       1007.00","       1040.00","       1002.60","       1034.55","       1033.50","       1022.68","    9452833","          9667201514.45","     235092","    3361126","         35.56"
"HCLTECH","EQ","06-Apr-2021","       1033.50","       1039.00","       1040.60","       1020.25","       1029.00","       1028.40","       1028.99","    4260257","          4383777397.65","     126271","    1757118","         41.24"
"HCLTECH","EQ","07-Apr-2021","       1028.40","       1031.00","       1045.00","       1024.70","       1037.00","       1037.20","       1034.68","    3551106","          3674264937.80","     105511","    1629345","         45.88"
"HCLTECH","EQ","08-Apr-2021","       1037.20","       1044.00","       1054.40","       1031.65","       1037.15","       1037.50","       1041.24","    4852068","          5052173109.20","     120480","    2184456","         45.02"
"HCLTECH","EQ","09-Apr-2021","       1037.50","       1042.10","       1054.80","       1034.15","       1043.05","       1045.40","       1044.97","    3708082","          3874842000.00","      82356","    1637896","         44.17"
"HCLTECH","EQ","12-Apr-2021","       1045.40","       1042.95","       1042.95","       1001.20","       1012.95","       1009.40","       1015.97","    5976427","          6071895752.75","     141109","    2890337","         48.36"
"HCLTECH","EQ","13-Apr-2021","       1009.40","       1012.50","       1020.80","        972.20","        988.30","        983.40","        991.02","    7773994","          7704218737.95","     191456","    3429972","         44.12"
"HCLTECH","EQ","15-Apr-2021","        983.40","        968.00","        994.70","        958.75","        994.00","        991.90","        976.91","    7430279","          7258737461.05","     210308","    3553281","         47.82"
"HCLTECH","EQ","16-Apr-2021","        991.90","       1000.00","       1016.80","        994.50","       1016.00","       1012.75","       1009.97","    4677808","          4724444556.45","      80815","    2120186","         45.32"
"HCLTECH","EQ","19-Apr-2021","       1012.75","        996.00","       1028.45","        987.85","        990.00","        994.60","       1008.95","    6239343","          6295207034.30","     141513","    1916983","         30.72"
"HCLTECH","EQ","20-Apr-2021","        994.60","       1006.00","       1006.00","        957.00","        960.90","        961.30","        972.08","    9742418","          9470362573.40","     211611","    3459107","         35.51"
"HCLTECH","EQ","22-Apr-2021","        961.30","        966.00","        971.90","        955.30","        960.80","        961.90","        963.72","    4970596","          4790276448.65","     124163","    1915843","         38.54"
