"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","01-Jan-2021","       1255.80","       1257.90","       1265.50","       1255.80","       1259.50","       1260.45","       1261.66","    4253550","          5366530407.75","      97445","    1089987","         25.63"
"INFY","EQ","04-Jan-2021","       1260.45","       1269.00","       1290.00","       1261.15","       1288.00","       1288.25","       1278.28","    7208454","          9214400329.00","     189946","    3343139","         46.38"
"INFY","EQ","05-Jan-2021","       1288.25","       1282.00","       1299.00","       1275.05","       1290.35","       1293.80","       1289.82","    8145280","         10505964474.35","     168537","    3346702","         41.09"
"INFY","EQ","06-Jan-2021","       1293.80","       1300.00","       1302.00","       1268.05","       1282.50","       1282.10","       1288.38","    7161715","          9226975582.30","     178942","    2780840","         38.83"
"INFY","EQ","07-Jan-2021","       1282.10","       1296.00","       1297.65","       1255.50","       1266.50","       1262.15","       1266.59","   10954918","         13875416120.90","     236192","    5389517","         49.20"
"INFY","EQ","08-Jan-2021","       1262.15","       1278.25","       1316.80","       1278.25","       1311.50","       1312.10","       1298.10","   13186251","         17117011224.65","     227983","    5653372","         42.87"
"INFY","EQ","11-Jan-2021","       1312.10","       1342.10","       1383.35","       1340.00","       1375.95","       1376.20","       1366.80","   20528626","         28058554925.95","     387124","    6434782","         31.35"
"INFY","EQ","12-Jan-2021","       1376.20","       1378.00","       1378.00","       1360.00","       1376.50","       1371.75","       1369.78","    8309868","         11382710088.05","     264378","    3655022","         43.98"
"INFY","EQ","13-Jan-2021","       1371.75","       1373.85","       1392.80","       1360.00","       1388.65","       1387.15","       1378.96","   14442997","         19916243435.80","     304458","    6490234","         44.94"
"INFY","EQ","14-Jan-2021","       1387.15","       1360.00","       1384.00","       1318.45","       1370.50","       1370.50","       1359.34","   27521697","         37411219055.40","     530803","   10370390","         37.68"
"INFY","EQ","15-Jan-2021","       1370.50","       1360.00","       1364.45","       1340.00","       1343.40","       1344.95","       1352.96","   15018441","         20319423540.10","     278300","    8103557","         53.96"
"INFY","EQ","18-Jan-2021","       1344.95","       1338.00","       1340.00","       1306.00","       1311.00","       1312.05","       1320.52","    8861765","         11702148822.35","     230056","    3963352","         44.72"
"INFY","EQ","19-Jan-2021","       1312.05","       1320.00","       1331.00","       1312.00","       1319.35","       1316.65","       1320.27","    5585744","          7374694216.10","     178275","    2574937","         46.10"
"INFY","EQ","20-Jan-2021","       1316.65","       1320.55","       1348.40","       1320.55","       1338.85","       1339.45","       1338.37","    8225838","         11009221845.75","     195330","    3198588","         38.88"
"INFY","EQ","21-Jan-2021","       1339.45","       1350.00","       1361.05","       1335.00","       1342.00","       1339.70","       1344.32","    6142421","          8257354257.80","     156050","    3033502","         49.39"
"INFY","EQ","22-Jan-2021","       1339.70","       1327.00","       1356.00","       1326.55","       1336.00","       1340.85","       1344.65","    9646591","         12971261022.25","     188343","    5913234","         61.30"
"INFY","EQ","25-Jan-2021","       1340.85","       1345.00","       1347.90","       1313.00","       1335.00","       1325.10","       1337.58","    6542611","          8751273546.85","     159466","    3814914","         58.31"
"INFY","EQ","27-Jan-2021","       1325.10","       1319.60","       1327.55","       1285.10","       1300.50","       1301.00","       1308.99","    8133665","         10646861260.40","     285525","    4665656","         57.36"
"INFY","EQ","28-Jan-2021","       1301.00","       1291.80","       1296.45","       1272.55","       1276.50","       1276.20","       1283.02","    4660690","          5979774972.30","     212130","    2338859","         50.18"
"INFY","EQ","29-Jan-2021","       1276.20","       1286.25","       1291.15","       1231.00","       1250.00","       1239.05","       1253.29","   12183519","         15269437394.85","     268406","    8230671","         67.56"
"INFY","EQ","01-Feb-2021","       1239.05","       1250.55","       1277.95","       1241.00","       1267.10","       1260.90","       1255.60","    8880279","         11150104432.25","     232672","    4479182","         50.44"
"INFY","EQ","02-Feb-2021","       1260.90","       1280.00","       1294.40","       1263.60","       1275.50","       1271.25","       1275.19","    6892490","          8789223156.80","     168360","    3386619","         49.13"
"INFY","EQ","03-Feb-2021","       1271.25","       1277.65","       1304.00","       1273.00","       1285.00","       1284.65","       1289.14","    8182968","         10549003463.65","     204774","    4333962","         52.96"
"INFY","EQ","04-Feb-2021","       1284.65","       1285.00","       1293.40","       1272.05","       1278.50","       1279.35","       1281.04","    5032240","          6446486331.45","     148262","    2611651","         51.90"
"INFY","EQ","05-Feb-2021","       1279.35","       1286.40","       1288.75","       1262.00","       1273.00","       1272.10","       1270.01","    5477481","          6956468417.35","     176339","    2774704","         50.66"
"INFY","EQ","08-Feb-2021","       1272.10","       1285.50","       1310.00","       1275.50","       1310.00","       1303.55","       1292.02","    6921922","          8943252910.40","     198135","    3121995","         45.10"
"INFY","EQ","09-Feb-2021","       1303.55","       1306.90","       1332.00","       1297.85","       1308.10","       1305.55","       1317.89","    7965949","         10498269840.10","     168139","    3091429","         38.81"
"INFY","EQ","10-Feb-2021","       1305.55","       1295.80","       1304.35","       1283.60","       1297.00","       1296.50","       1293.40","    5951207","          7697265667.60","     175936","    2693010","         45.25"
"INFY","EQ","11-Feb-2021","       1296.50","       1289.00","       1296.00","       1283.05","       1292.20","       1292.65","       1289.54","    4673317","          6026438862.70","     128045","    2707694","         57.94"
"INFY","EQ","12-Feb-2021","       1292.65","       1305.00","       1323.75","       1301.55","       1312.00","       1309.80","       1312.31","    5797875","          7608600802.80","     142747","    1168961","         20.16"
"INFY","EQ","15-Feb-2021","       1309.80","       1320.00","       1328.40","       1307.10","       1312.00","       1309.65","       1317.42","    4363513","          5748561879.95","     143342","    2047482","         46.92"
"INFY","EQ","16-Feb-2021","       1309.65","       1314.00","       1319.75","       1286.00","       1294.50","       1290.40","       1298.05","    6896421","          8951918993.70","     285705","    4050319","         58.73"
"INFY","EQ","17-Feb-2021","       1290.40","       1290.40","       1294.50","       1275.00","       1280.50","       1281.30","       1283.76","    4575741","          5874133583.20","     142040","    2084387","         45.55"
"INFY","EQ","18-Feb-2021","       1281.30","       1276.00","       1306.00","       1275.00","       1289.35","       1292.45","       1291.86","    6437551","          8316445821.30","     178755","    3406927","         52.92"
"INFY","EQ","19-Feb-2021","       1292.45","       1296.10","       1299.50","       1276.80","       1293.00","       1291.30","       1288.37","    5389696","          6943924608.55","     129418","    2864493","         53.15"
"INFY","EQ","22-Feb-2021","       1291.30","       1295.00","       1308.55","       1260.00","       1264.15","       1265.20","       1282.74","    7371303","          9455456933.75","     205288","    3748207","         50.85"
