"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MPHASIS","EQ","01-Jan-2021","       1539.95","       1549.00","       1558.95","       1520.00","       1533.55","       1529.90","       1537.17","     156994","           241326003.60","      19939","      64244","         40.92"
"MPHASIS","EQ","04-Jan-2021","       1529.90","       1550.00","       1557.00","       1505.00","       1533.00","       1519.35","       1524.77","     389716","           594228839.30","      35438","     203131","         52.12"
"MPHASIS","EQ","05-Jan-2021","       1519.35","       1525.05","       1610.00","       1525.00","       1580.00","       1581.65","       1577.12","     677882","          1069104621.70","      46838","     241967","         35.69"
"MPHASIS","EQ","06-Jan-2021","       1581.65","       1595.55","       1697.40","       1586.00","       1627.00","       1615.75","       1645.59","     973000","          1601161448.80","      52815","     339691","         34.91"
"MPHASIS","EQ","07-Jan-2021","       1615.75","       1639.00","       1675.00","       1620.00","       1667.00","       1663.00","       1646.95","     347070","           571607154.70","      21581","     154098","         44.40"
"MPHASIS","EQ","08-Jan-2021","       1663.00","       1669.00","       1673.00","       1605.00","       1650.00","       1639.30","       1625.80","     853366","          1387403700.40","      52334","     368924","         43.23"
"MPHASIS","EQ","11-Jan-2021","       1639.30","       1660.00","       1710.00","       1656.00","       1700.25","       1699.15","       1691.87","     711646","          1204015638.75","      26859","     326839","         45.93"
"MPHASIS","EQ","12-Jan-2021","       1699.15","       1700.00","       1706.50","       1644.50","       1665.00","       1657.35","       1675.24","     795854","          1333243277.55","      35443","     520032","         65.34"
"MPHASIS","EQ","13-Jan-2021","       1657.35","       1675.00","       1675.00","       1636.50","       1655.00","       1651.35","       1649.19","     504008","           831204648.70","      22125","     306276","         60.77"
"MPHASIS","EQ","14-Jan-2021","       1651.35","       1664.05","       1735.00","       1617.40","       1695.00","       1696.15","       1670.47","     714819","          1194086568.95","      43931","     211007","         29.52"
"MPHASIS","EQ","15-Jan-2021","       1696.15","       1704.00","       1704.00","       1647.00","       1665.25","       1667.55","       1665.38","     331478","           552035441.40","      19448","     173529","         52.35"
"MPHASIS","EQ","18-Jan-2021","       1667.55","       1667.30","       1667.70","       1620.10","       1635.00","       1635.00","       1630.57","     465525","           759069338.25","      32025","     305034","         65.52"
"MPHASIS","EQ","19-Jan-2021","       1635.00","       1635.00","       1665.00","       1591.20","       1620.00","       1616.80","       1631.79","     194318","           317086413.05","      14971","      95868","         49.34"
"MPHASIS","EQ","20-Jan-2021","       1616.80","       1628.00","       1676.00","       1621.65","       1642.00","       1647.10","       1657.38","     301343","           499440543.70","      17646","      95960","         31.84"
"MPHASIS","EQ","21-Jan-2021","       1647.10","       1667.40","       1667.40","       1590.00","       1598.80","       1600.65","       1623.79","     345085","           560345669.70","      23174","     173400","         50.25"
"MPHASIS","EQ","22-Jan-2021","       1600.65","       1559.05","       1616.00","       1537.00","       1611.25","       1599.05","       1570.52","     920370","          1445456871.35","      46941","     502907","         54.64"
"MPHASIS","EQ","25-Jan-2021","       1599.05","       1619.95","       1619.95","       1542.15","       1586.00","       1591.10","       1579.75","     204142","           322493345.75","      21751","      85512","         41.89"
"MPHASIS","EQ","27-Jan-2021","       1591.10","       1591.10","       1605.00","       1545.15","       1585.00","       1585.80","       1583.79","     349539","           553594863.75","      17333","     157366","         45.02"
"MPHASIS","EQ","28-Jan-2021","       1585.80","       1550.00","       1586.55","       1534.00","       1560.50","       1555.50","       1552.23","     406023","           630242259.40","      43469","     230195","         56.70"
"MPHASIS","EQ","29-Jan-2021","       1555.50","       1572.00","       1604.55","       1512.00","       1540.05","       1531.35","       1548.05","     400404","           619847222.80","      27774","     221365","         55.29"
"MPHASIS","EQ","01-Feb-2021","       1531.35","       1535.00","       1558.95","       1511.00","       1520.00","       1529.95","       1528.14","     265113","           405130735.85","      18104","     167073","         63.02"
"MPHASIS","EQ","02-Feb-2021","       1529.95","       1539.80","       1590.65","       1532.15","       1563.00","       1572.80","       1569.43","     405555","           636488841.05","      28643","     272618","         67.22"
"MPHASIS","EQ","03-Feb-2021","       1572.80","       1578.85","       1609.95","       1534.95","       1586.95","       1591.05","       1590.86","     550668","           876036220.45","      26525","     329285","         59.80"
"MPHASIS","EQ","04-Feb-2021","       1591.05","       1604.05","       1613.70","       1575.35","       1599.45","       1589.50","       1594.48","     214307","           341707413.25","      14488","     136754","         63.81"
"MPHASIS","EQ","05-Feb-2021","       1589.50","       1597.00","       1610.95","       1556.00","       1569.00","       1574.60","       1597.64","     573788","           916707430.10","      45445","     408461","         71.19"
"MPHASIS","EQ","08-Feb-2021","       1574.60","       1590.00","       1639.70","       1577.60","       1632.30","       1632.10","       1611.42","     378476","           609884214.95","      21893","     163965","         43.32"
"MPHASIS","EQ","09-Feb-2021","       1632.10","       1634.50","       1674.90","       1625.15","       1641.05","       1647.20","       1656.42","     329026","           545006622.60","      28717","     130947","         39.80"
"MPHASIS","EQ","10-Feb-2021","       1647.20","       1652.20","       1665.90","       1625.90","       1636.90","       1639.15","       1646.61","     309641","           509858583.10","      32853","     180463","         58.28"
