"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OFSS","EQ","01-Jan-2021","       3212.50","       3192.00","       3250.00","       3192.00","       3237.00","       3242.85","       3234.35","      32142","           103958540.65","       3418","      19597","         60.97"
"OFSS","EQ","04-Jan-2021","       3242.85","       3255.00","       3410.00","       3250.20","       3372.05","       3370.55","       3362.51","     181968","           611868518.15","      22872","      79818","         43.86"
"OFSS","EQ","05-Jan-2021","       3370.55","       3372.00","       3469.00","       3355.50","       3440.00","       3448.50","       3426.92","     126841","           434673736.30","      15292","      64868","         51.14"
"OFSS","EQ","06-Jan-2021","       3448.50","       3448.50","       3480.00","       3333.30","       3370.05","       3364.95","       3390.71","      65935","           223566207.45","      11835","      34523","         52.36"
"OFSS","EQ","07-Jan-2021","       3364.95","       3398.25","       3420.00","       3310.00","       3321.00","       3325.15","       3370.68","      54859","           184912040.10","      10431","      33241","         60.59"
"OFSS","EQ","08-Jan-2021","       3325.15","       3368.45","       3368.45","       3305.55","       3340.00","       3342.40","       3339.15","     103532","           345709331.60","       8603","      80659","         77.91"
"OFSS","EQ","11-Jan-2021","       3342.40","       3410.00","       3429.90","       3330.05","       3350.15","       3353.00","       3356.42","     120399","           404109096.45","      13727","      81034","         67.30"
"OFSS","EQ","12-Jan-2021","       3353.00","       3369.00","       3535.00","       3333.00","       3461.00","       3464.65","       3471.79","     236200","           820037041.15","      25619","     110023","         46.58"
"OFSS","EQ","13-Jan-2021","       3464.65","       3497.00","       3542.00","       3461.00","       3465.00","       3481.30","       3501.03","     107329","           375762165.90","      11657","      59480","         55.42"
"OFSS","EQ","14-Jan-2021","       3481.30","       3508.10","       3515.45","       3420.00","       3440.00","       3439.45","       3452.73","      44550","           153818901.70","       6762","      23069","         51.78"
"OFSS","EQ","15-Jan-2021","       3439.45","       3463.90","       3463.90","       3355.55","       3370.00","       3379.80","       3396.71","      45784","           155515079.55","       9005","      27147","         59.29"
"OFSS","EQ","18-Jan-2021","       3379.80","       3390.00","       3390.00","       3254.10","       3285.00","       3308.40","       3301.10","      69955","           230928484.15","      10991","      42898","         61.32"
"OFSS","EQ","19-Jan-2021","       3308.40","       3340.00","       3405.00","       3305.00","       3375.00","       3362.90","       3338.76","      43406","           144922112.80","       9236","      23068","         53.14"
"OFSS","EQ","20-Jan-2021","       3362.90","       3380.00","       3415.40","       3312.85","       3344.95","       3345.05","       3381.42","      55328","           187087010.60","       8607","      32939","         59.53"
"OFSS","EQ","21-Jan-2021","       3345.05","       3367.90","       3399.95","       3340.00","       3350.00","       3349.95","       3354.98","      59441","           199423170.85","       5717","      46237","         77.79"
"OFSS","EQ","22-Jan-2021","       3349.95","       3350.00","       3388.00","       3285.00","       3324.00","       3314.65","       3314.28","      43624","           144582150.50","       7317","      31146","         71.40"
"OFSS","EQ","25-Jan-2021","       3314.65","       3350.00","       3350.00","       3267.00","       3295.00","       3315.95","       3288.96","      42369","           139349770.70","       8517","      25337","         59.80"
"OFSS","EQ","27-Jan-2021","       3315.95","       3283.45","       3340.55","       3210.00","       3270.00","       3253.85","       3244.60","      76931","           249610433.75","      10773","      40053","         52.06"
"OFSS","EQ","28-Jan-2021","       3253.85","       3221.90","       3283.95","       3211.05","       3260.40","       3269.95","       3252.86","      17738","            57699163.40","       3462","      11182","         63.04"
"OFSS","EQ","29-Jan-2021","       3269.95","       3322.90","       3322.90","       3201.00","       3217.50","       3218.55","       3227.85","      78976","           254922778.10","       6737","      58810","         74.47"
"OFSS","EQ","01-Feb-2021","       3218.55","       3218.00","       3280.75","       3183.00","       3250.00","       3249.15","       3243.12","      38306","           124230932.95","       5612","      25718","         67.14"
"OFSS","EQ","02-Feb-2021","       3249.15","       3289.00","       3329.00","       3210.05","       3279.65","       3280.80","       3281.75","      32943","           108110543.30","       5940","      14953","         45.39"
"OFSS","EQ","03-Feb-2021","       3280.80","       3299.75","       3347.00","       3252.00","       3307.10","       3305.15","       3309.59","      37822","           125175429.05","       4800","      14980","         39.61"
"OFSS","EQ","04-Feb-2021","       3305.15","       3321.75","       3344.00","       3281.00","       3285.00","       3300.25","       3319.61","      16158","            53638276.60","       2755","       9040","         55.95"
"OFSS","EQ","05-Feb-2021","       3300.25","       3324.00","       3324.90","       3282.00","       3291.95","       3293.10","       3299.75","      18239","            60184171.35","       2923","      10931","         59.93"
"OFSS","EQ","08-Feb-2021","       3293.10","       3320.00","       3348.00","       3230.00","       3241.00","       3237.80","       3266.11","      60437","           197393842.00","      14121","      32524","         53.81"
"OFSS","EQ","09-Feb-2021","       3237.80","       3263.95","       3267.75","       3212.00","       3242.80","       3230.95","       3241.68","      26432","            85684191.35","       3674","      16602","         62.81"
"OFSS","EQ","10-Feb-2021","       3230.95","       3242.80","       3247.15","       3184.25","       3204.00","       3197.80","       3210.43","      68172","           218861658.05","       5048","      54931","         80.58"
"OFSS","EQ","11-Feb-2021","       3197.80","       3201.00","       3228.00","       3190.00","       3220.00","       3216.95","       3211.60","      19425","            62385355.15","       3492","       9098","         46.84"
"OFSS","EQ","12-Feb-2021","       3216.95","       3230.00","       3230.00","       3190.00","       3191.30","       3195.70","       3205.46","      28282","            90656683.70","       4648","      18961","         67.04"
"OFSS","EQ","15-Feb-2021","       3195.70","       3227.50","       3238.95","       3162.00","       3167.55","       3168.50","       3192.19","      50776","           162086679.05","       4949","      40697","         80.15"
"OFSS","EQ","16-Feb-2021","       3168.50","       3170.00","       3190.15","       3121.00","       3137.00","       3134.70","       3148.27","      53701","           169065209.15","       6151","      39996","         74.48"
"OFSS","EQ","17-Feb-2021","       3134.70","       3149.00","       3149.90","       3065.00","       3103.00","       3090.55","       3106.14","      69727","           216581813.15","       5540","      52690","         75.57"
"OFSS","EQ","18-Feb-2021","       3090.55","       3120.00","       3120.00","       3050.00","       3070.00","       3069.70","       3077.66","      78656","           242076614.70","      10024","      65142","         82.82"
"OFSS","EQ","19-Feb-2021","       3069.70","       3085.75","       3085.75","       3044.10","       3054.10","       3049.35","       3061.73","      26720","            81809493.20","       3444","      17593","         65.84"
"OFSS","EQ","22-Feb-2021","       3049.35","       3074.00","       3132.20","       2931.05","       2992.00","       2971.90","       3049.39","     158730","           484030423.10","      15064","     114918","         72.40"
"OFSS","EQ","23-Feb-2021","       2971.90","       3004.90","       3023.40","       2980.45","       3010.00","       3006.30","       3001.50","      27359","            82118156.00","       3601","      15530","         56.76"
"OFSS","EQ","24-Feb-2021","       3006.30","       3036.50","       3048.70","       2995.00","       3040.00","       3037.60","       3016.96","      17567","            52998919.75","       2940","      11050","         62.90"
"OFSS","EQ","25-Feb-2021","       3037.60","       3050.75","       3150.00","       3005.10","       3020.00","       3018.95","       3041.51","     134862","           410183726.30","       9111","     102279","         75.84"
"OFSS","EQ","26-Feb-2021","       3018.95","       3005.50","       3058.00","       2982.15","       3033.00","       3043.60","       3014.10","      37277","           112356563.35","       5524","      21794","         58.47"
"OFSS","EQ","01-Mar-2021","       3043.60","       3050.00","       3168.75","       3050.00","       3155.90","       3152.75","       3133.06","      85714","           268546889.40","      12347","      56713","         66.17"
"OFSS","EQ","02-Mar-2021","       3152.75","       3170.00","       3248.75","       3170.00","       3195.00","       3197.85","       3203.10","      89148","           285549706.05","      11140","      59351","         66.58"
"OFSS","EQ","03-Mar-2021","       3197.85","       3206.10","       3330.00","       3182.25","       3230.20","       3228.15","       3261.57","     101246","           330221197.90","      10191","      42378","         41.86"
"OFSS","EQ","04-Mar-2021","       3228.15","       3235.00","       3280.00","       3190.00","       3241.00","       3252.35","       3252.57","      42301","           137586927.25","       6509","      23624","         55.85"
"OFSS","EQ","05-Mar-2021","       3252.35","       3279.65","       3279.65","       3195.00","       3200.00","       3204.05","       3229.92","      93581","           302259486.85","       7260","      70140","         74.95"
"OFSS","EQ","08-Mar-2021","       3204.05","       3280.00","       3280.00","       3175.00","       3215.00","       3216.80","       3219.39","     118220","           380596441.25","       4440","     101203","         85.61"
"OFSS","EQ","09-Mar-2021","       3216.80","       3228.00","       3242.25","       3200.00","       3208.00","       3221.40","       3221.08","      70687","           227688811.95","       3863","      58465","         82.71"
"OFSS","EQ","10-Mar-2021","       3221.40","       3226.20","       3270.70","       3192.00","       3200.00","       3201.55","       3222.92","      30154","            97184032.35","       4549","      14323","         47.50"
