"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","01-Jan-2021","       2862.75","       2880.00","       2940.00","       2879.00","       2932.00","       2928.25","       2913.52","    2681440","          7812435140.30","      88216","     504010","         18.80"
"TCS","EQ","04-Jan-2021","       2928.25","       2950.00","       3050.75","       2940.95","       3042.70","       3039.45","       2998.15","    5113293","         15330405223.95","     207562","    1182335","         23.12"
"TCS","EQ","05-Jan-2021","       3039.45","       3039.60","       3114.25","       3039.60","       3090.65","       3093.00","       3084.07","    5801309","         17891634394.80","     202735","    1554550","         26.80"
"TCS","EQ","06-Jan-2021","       3093.00","       3100.00","       3113.50","       3037.20","       3053.00","       3051.50","       3078.56","    3726716","         11472936907.35","     172084","    1054841","         28.30"
"TCS","EQ","07-Jan-2021","       3051.50","       3075.00","       3080.85","       3000.25","       3048.65","       3032.80","       3028.74","    3717827","         11260321904.20","     167700","    1490971","         40.10"
"TCS","EQ","08-Jan-2021","       3032.80","       3090.00","       3128.00","       3060.00","       3122.75","       3120.90","       3100.97","    5879039","         18230717038.75","     214010","    1754802","         29.85"
"TCS","EQ","11-Jan-2021","       3120.90","       3230.00","       3230.00","       3146.55","       3170.45","       3176.45","       3174.16","    9508039","         30180045841.35","     294091","    3153741","         33.17"
"TCS","EQ","12-Jan-2021","       3176.45","       3176.45","       3210.00","       3150.00","       3172.00","       3174.85","       3187.07","    3611458","         11509972776.65","     142696","    1656842","         45.88"
"TCS","EQ","13-Jan-2021","       3174.85","       3175.00","       3177.00","       3126.25","       3158.00","       3158.95","       3147.46","    3572801","         11245261941.15","     189690","    1857249","         51.98"
"TCS","EQ","14-Jan-2021","       3158.95","       3155.00","       3266.50","       3120.40","       3244.35","       3250.70","       3207.17","    6931542","         22230611264.15","     276953","    3067056","         44.25"
"TCS","EQ","15-Jan-2021","       3250.70","       3235.00","       3274.00","       3210.00","       3229.95","       3233.35","       3240.98","    4131692","         13390734930.65","     193972","    1959292","         47.42"
"TCS","EQ","18-Jan-2021","       3233.35","       3250.00","       3256.75","       3187.40","       3215.00","       3221.75","       3230.06","    4160906","         13439989256.75","     195067","    2204487","         52.98"
"TCS","EQ","19-Jan-2021","       3221.75","       3233.00","       3279.00","       3232.00","       3265.60","       3260.70","       3256.44","    2975735","          9690307983.35","     135064","    1409143","         47.35"
"TCS","EQ","20-Jan-2021","       3260.70","       3270.00","       3327.95","       3267.10","       3305.00","       3308.80","       3304.97","    3453446","         11413530807.30","     169490","    1498128","         43.38"
"TCS","EQ","21-Jan-2021","       3308.80","       3305.00","       3309.15","       3262.10","       3274.05","       3273.85","       3281.88","    2778546","          9118852661.70","     134629","    1222458","         44.00"
