"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","01-Jan-2021","        973.20","        976.00","        981.20","        971.20","        975.95","        977.95","        977.58","    1268291","          1239855419.60","      32808","     226140","         17.83"
"TECHM","EQ","04-Jan-2021","        977.95","        980.60","       1005.00","        975.00","       1003.00","       1001.95","        992.57","    3515825","          3489716504.55","      60632","     845506","         24.05"
"TECHM","EQ","05-Jan-2021","       1001.95","       1002.50","       1007.95","        991.30","       1002.55","       1003.85","       1001.04","    4040321","          4044512482.80","      93354","    1662330","         41.14"
"TECHM","EQ","06-Jan-2021","       1003.85","       1004.00","       1026.00","        983.35","        996.00","        997.15","       1007.08","    4677359","          4710474327.25","      96635","    1201314","         25.68"
"TECHM","EQ","07-Jan-2021","        997.15","       1005.50","       1010.00","        988.60","        996.80","        994.75","        998.95","    3354950","          3351443446.35","      75721","    1144537","         34.11"
"TECHM","EQ","08-Jan-2021","        994.75","       1007.75","       1060.00","       1005.45","       1048.00","       1051.10","       1038.55","    9279370","          9637082636.30","     139872","    2712542","         29.23"
"TECHM","EQ","11-Jan-2021","       1051.10","       1062.10","       1081.55","       1040.50","       1076.80","       1077.60","       1060.93","    6488791","          6884169694.90","     128412","    1603188","         24.71"
"TECHM","EQ","12-Jan-2021","       1077.60","       1077.60","       1077.65","       1053.00","       1063.00","       1064.20","       1063.87","    4257926","          4529892909.05","     112238","    1835466","         43.11"
"TECHM","EQ","13-Jan-2021","       1064.20","       1074.00","       1078.75","       1050.05","       1065.40","       1069.65","       1066.41","    4671772","          4982036276.85","     122820","    1944627","         41.63"
"TECHM","EQ","14-Jan-2021","       1069.65","       1064.00","       1064.00","       1030.00","       1054.95","       1052.60","       1049.54","    4765344","          5001406054.40","     139984","    1598973","         33.55"
"TECHM","EQ","15-Jan-2021","       1052.60","       1049.50","       1062.80","       1002.65","       1011.00","       1007.30","       1022.59","    6063896","          6200881972.45","     139371","    2344734","         38.67"
"TECHM","EQ","18-Jan-2021","       1007.30","        998.00","       1013.80","        991.95","        994.15","        998.25","       1002.63","    4659705","          4671967456.60","     136456","    1874327","         40.22"
"TECHM","EQ","19-Jan-2021","        998.25","       1006.60","       1008.45","        987.20","        995.50","        992.50","        995.88","    4416027","          4397839370.45","     110734","    1677710","         37.99"
"TECHM","EQ","20-Jan-2021","        992.50","        997.00","       1023.40","        997.00","       1019.45","       1019.45","       1016.24","    4687853","          4763983175.15","      93591","    1194845","         25.49"
"TECHM","EQ","21-Jan-2021","       1019.45","       1026.00","       1033.35","        994.50","       1008.00","       1004.70","       1013.27","    3911527","          3963442465.30","     105731","    1368077","         34.98"
"TECHM","EQ","22-Jan-2021","       1004.70","       1004.70","       1005.00","        975.00","        982.00","        980.85","        985.26","    3922421","          3864589494.05","     121187","    1835085","         46.78"
"TECHM","EQ","25-Jan-2021","        980.85","        985.85","        997.90","        962.20","        977.00","        972.05","        980.72","    2751784","          2698719126.80","      69731","    1231644","         44.76"
"TECHM","EQ","27-Jan-2021","        972.05","        978.00","       1004.90","        973.65","        997.55","        997.10","        991.82","    6975618","          6918584885.80","     123094","    3288822","         47.15"
"TECHM","EQ","28-Jan-2021","        997.10","        990.00","        990.00","        965.00","        982.00","        981.60","        974.94","    4274190","          4167099444.90","     107154","    1104071","         25.83"
"TECHM","EQ","29-Jan-2021","        981.60","        990.10","        995.90","        956.00","        961.05","        961.40","        974.13","    4425911","          4311411799.45","     100507","    1840066","         41.57"
"TECHM","EQ","01-Feb-2021","        961.40","        961.90","        961.90","        921.15","        947.95","        941.75","        938.77","    6321189","          5934123442.80","     205929","    2246276","         35.54"
"TECHM","EQ","02-Feb-2021","        941.75","        955.00","        972.90","        937.50","        957.00","        957.20","        952.03","    4971530","          4733035432.85","     151720","    1904487","         38.31"
"TECHM","EQ","03-Feb-2021","        957.20","        965.00","       1000.00","        960.10","        983.90","        981.45","        984.43","    5640121","          5552315235.15","     123433","    1943481","         34.46"
"TECHM","EQ","04-Feb-2021","        981.45","        987.95","        988.00","        964.30","        968.60","        969.20","        970.87","    4232910","          4109594826.30","     112818","    2211113","         52.24"
"TECHM","EQ","05-Feb-2021","        969.20","        972.35","        980.85","        950.05","        960.00","        959.40","        962.01","    3077720","          2960803877.80","      66606","    1266254","         41.14"
"TECHM","EQ","08-Feb-2021","        959.40","        969.80","        993.00","        960.55","        984.00","        982.55","        979.64","    3713579","          3637981430.95","     102104","    1221486","         32.89"
"TECHM","EQ","09-Feb-2021","        982.55","        978.60","        999.80","        967.25","        975.95","        975.10","        985.09","    3086774","          3040739956.50","      85972","    1049101","         33.99"
"TECHM","EQ","10-Feb-2021","        975.10","        975.50","        980.25","        957.60","        977.00","        974.90","        969.06","    2776301","          2690406933.80","     101957","    1269223","         45.72"
"TECHM","EQ","11-Feb-2021","        974.90","        975.00","        988.65","        972.85","        987.00","        985.60","        981.06","    2070435","          2031220317.00","      57714","     710605","         34.32"
