"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","01-Jan-2021","        386.25","        385.05","        390.75","        385.05","        387.50","        388.10","        388.00","    5042336","          1956434384.50","      67053","    1214950","         24.09"
"WIPRO","EQ","04-Jan-2021","        388.10","        390.00","        397.95","        387.80","        396.70","        396.40","        393.91","    9755721","          3842841411.10","      94914","    3356855","         34.41"
"WIPRO","EQ","05-Jan-2021","        396.40","        394.10","        409.80","        393.50","        405.50","        406.30","        403.28","   25156747","         10145293571.15","     188362","    8146042","         32.38"
"WIPRO","EQ","06-Jan-2021","        406.30","        405.00","        417.40","        403.30","        405.90","        406.40","        410.04","   22486300","          9220184899.15","     193337","    5485151","         24.39"
"WIPRO","EQ","07-Jan-2021","        406.40","        412.25","        413.00","        403.85","        407.50","        406.75","        406.88","   12344755","          5022832524.55","      97582","    3647681","         29.55"
"WIPRO","EQ","08-Jan-2021","        406.75","        407.50","        432.65","        407.25","        428.00","        430.20","        423.56","   40993230","         17363008226.95","     277996","   10074049","         24.57"
"WIPRO","EQ","11-Jan-2021","        430.20","        436.00","        451.00","        435.00","        447.05","        446.80","        444.84","   47334018","         21056211454.25","     371366","   11087896","         23.42"
"WIPRO","EQ","12-Jan-2021","        446.80","        447.95","        460.75","        442.40","        460.70","        457.70","        451.30","   22134465","          9989260323.40","     223110","    3722545","         16.82"
"WIPRO","EQ","13-Jan-2021","        457.70","        461.00","        467.45","        452.80","        459.00","        459.00","        460.70","   29190193","         13448066484.00","     362087","    6942477","         23.78"
"WIPRO","EQ","14-Jan-2021","        459.00","        452.00","        466.00","        430.00","        453.00","        454.35","        450.54","   71551807","         32237059994.65","     529191","   12075899","         16.88"
"WIPRO","EQ","15-Jan-2021","        454.35","        454.75","        459.40","        436.60","        437.80","        438.55","        447.14","   25307779","         11316125682.25","     214897","    3774231","         14.91"
"WIPRO","EQ","18-Jan-2021","        438.55","        441.00","        445.00","        429.10","        429.10","        431.55","        438.58","   21510587","          9434208905.95","     208931","    3006002","         13.97"
"WIPRO","EQ","19-Jan-2021","        431.55","        433.00","        439.55","        427.70","        433.00","        430.25","        432.24","   15677790","          6776554730.00","     132337","    2989708","         19.07"
"WIPRO","EQ","20-Jan-2021","        430.25","        434.00","        447.85","        433.00","        444.90","        444.95","        443.71","   24419679","         10835153345.55","     207154","    4623935","         18.94"
"WIPRO","EQ","21-Jan-2021","        444.95","        451.60","        453.45","        442.30","        447.65","        445.80","        448.46","   15911377","          7135659042.50","     138856","    4607464","         28.96"
"WIPRO","EQ","22-Jan-2021","        445.80","        447.45","        452.00","        440.45","        443.50","        444.75","        445.22","   11398812","          5074968624.85","     120324","    3259580","         28.60"
"WIPRO","EQ","25-Jan-2021","        444.75","        445.15","        451.00","        435.15","        437.90","        437.25","        441.91","    7380169","          3261360007.80","      86204","    1953913","         26.48"
"WIPRO","EQ","27-Jan-2021","        437.25","        438.00","        454.75","        437.25","        446.00","        446.45","        449.19","   29590210","         13291561394.70","     224446","    6522228","         22.04"
"WIPRO","EQ","28-Jan-2021","        446.45","        443.25","        448.60","        427.30","        433.00","        431.90","        434.54","   14812435","          6436622050.55","     157793","    2346161","         15.84"
"WIPRO","EQ","29-Jan-2021","        431.90","        437.40","        437.70","        415.55","        420.00","        417.90","        425.79","   15632421","          6656158339.40","     143912","    5120354","         32.75"
"WIPRO","EQ","01-Feb-2021","        417.90","        416.10","        423.80","        408.20","        423.05","        421.50","        415.30","   15081852","          6263467806.45","     160816","    3402788","         22.56"
"WIPRO","EQ","02-Feb-2021","        421.50","        428.00","        435.55","        423.65","        427.90","        428.35","        427.93","   13310498","          5696008265.30","     111916","    2813870","         21.14"
"WIPRO","EQ","03-Feb-2021","        428.35","        430.20","        439.95","        430.20","        435.00","        433.50","        436.37","    9897666","          4319033021.40","     103571","    2275292","         22.99"
"WIPRO","EQ","04-Feb-2021","        433.50","        433.50","        436.90","        428.25","        430.40","        429.90","        430.85","    7193299","          3099248262.30","      74478","    1906324","         26.50"
"WIPRO","EQ","05-Feb-2021","        429.90","        432.00","        433.40","        420.55","        426.50","        425.55","        424.89","    8679026","          3687625859.55","      88201","    2817052","         32.46"
"WIPRO","EQ","08-Feb-2021","        425.55","        430.35","        437.70","        426.30","        436.30","        435.30","        431.95","   12516340","          5406378731.25","     114768","    3323421","         26.55"
"WIPRO","EQ","09-Feb-2021","        435.30","        440.25","        451.75","        435.20","        441.50","        439.35","        445.17","   29474830","         13121220479.85","     232757","    5599448","         19.00"
"WIPRO","EQ","10-Feb-2021","        439.35","        442.00","        444.15","        435.00","        439.70","        439.00","        438.83","   10607735","          4655001302.00","      86594","    2999030","         28.27"
"WIPRO","EQ","11-Feb-2021","        439.00","        439.00","        440.50","        433.40","        440.20","        437.00","        436.02","    9237026","          4027518160.70","      77279","    2532694","         27.42"
"WIPRO","EQ","12-Feb-2021","        437.00","        440.00","        449.20","        439.60","        441.70","        442.00","        444.59","   19280834","          8572128073.15","     164996","    3151753","         16.35"
