"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","30-Sep-2020","        131.70","        131.55","        134.40","        130.30","        133.40","        133.30","        132.74","   48859151","          6485567787.80","     142415"
"TATAMOTORS","EQ","01-Oct-2020","        133.30","        135.90","        136.50","        132.55","        133.85","        133.50","        134.70","   40491787","          5454141488.50","     146860"
"TATAMOTORS","EQ","05-Oct-2020","        133.50","        136.95","        137.50","        132.05","        134.20","        133.90","        134.39","   55268395","          7427641026.70","     164992"
"TATAMOTORS","EQ","06-Oct-2020","        133.90","        138.00","        145.80","        136.00","        144.45","        144.75","        143.13","  162047240","         23193614030.45","     502876"
"TATAMOTORS","EQ","07-Oct-2020","        144.75","        144.25","        144.50","        139.80","        141.15","        141.00","        141.93","   68274103","          9689921396.00","     226108"
"TATAMOTORS","EQ","08-Oct-2020","        141.00","        142.85","        143.50","        139.60","        141.15","        140.95","        141.30","   40943141","          5785076340.80","     138293"
"TATAMOTORS","EQ","09-Oct-2020","        140.95","        141.15","        142.65","        138.00","        138.60","        138.45","        139.59","   37097517","          5178567429.05","     134757"
"TATAMOTORS","EQ","12-Oct-2020","        138.45","        139.65","        139.65","        133.00","        135.90","        135.90","        135.67","   39279464","          5329218690.75","     143425"
"TATAMOTORS","EQ","13-Oct-2020","        135.90","        135.40","        137.10","        132.85","        133.95","        134.10","        134.89","   38973857","          5257195327.25","     143477"
"TATAMOTORS","EQ","14-Oct-2020","        134.10","        133.75","        134.65","        128.80","        130.50","        130.70","        130.71","   45792723","          5985719549.80","     179136"
"TATAMOTORS","EQ","15-Oct-2020","        130.70","        131.50","        134.35","        126.50","        126.55","        126.95","        130.76","   64004610","          8369072219.05","     234276"
"TATAMOTORS","EQ","16-Oct-2020","        126.95","        129.40","        130.05","        126.00","        127.80","        127.75","        127.72","   62554211","          7989628143.30","     208292"
"TATAMOTORS","EQ","19-Oct-2020","        127.75","        129.80","        130.40","        127.80","        128.25","        128.25","        128.81","   33161414","          4271356554.10","     149958"
"TATAMOTORS","EQ","20-Oct-2020","        128.25","        128.10","        130.30","        126.35","        129.35","        129.65","        128.12","   27470025","          3519466619.35","     121548"
"TATAMOTORS","EQ","21-Oct-2020","        129.65","        131.05","        133.10","        128.30","        130.60","        130.25","        131.03","   39252680","          5143473415.85","     202411"
"TATAMOTORS","EQ","22-Oct-2020","        130.25","        129.70","        134.60","        128.45","        134.25","        133.50","        131.66","   48808808","          6425930305.10","     182545"
"TATAMOTORS","EQ","23-Oct-2020","        133.50","        134.90","        138.90","        134.10","        136.65","        137.00","        136.74","   68712845","          9395966779.25","     254495"
"TATAMOTORS","EQ","26-Oct-2020","        137.00","        138.40","        140.80","        131.25","        133.65","        133.70","        135.51","   88533181","         11996720996.50","     310965"
"TATAMOTORS","EQ","27-Oct-2020","        133.70","        134.15","        136.75","        130.85","        136.65","        135.65","        134.38","   56861313","          7641152363.75","     204736"
"TATAMOTORS","EQ","28-Oct-2020","        135.65","        139.00","        143.25","        133.50","        134.75","        134.80","        138.52","  152361862","         21104506025.10","     473350"
"TATAMOTORS","EQ","29-Oct-2020","        134.80","        132.00","        133.00","        130.00","        132.00","        131.90","        131.45","   66634175","          8759323437.70","     227711"
"TATAMOTORS","EQ","30-Oct-2020","        131.90","        133.20","        134.50","        130.30","        133.20","        132.65","        132.39","   51128679","          6769124459.40","     180110"
"TATAMOTORS","EQ","02-Nov-2020","        132.65","        133.65","        134.00","        131.10","        132.70","        132.85","        132.46","   40388690","          5349833493.65","     133563"
"TATAMOTORS","EQ","03-Nov-2020","        132.85","        135.00","        137.40","        133.55","        133.90","        134.10","        135.23","   52071476","          7041644361.70","     175863"
"TATAMOTORS","EQ","04-Nov-2020","        134.10","        135.60","        137.00","        134.00","        135.65","        135.90","        135.35","   44675934","          6046713196.20","     135790"
"TATAMOTORS","EQ","05-Nov-2020","        135.90","        137.00","        138.00","        136.00","        137.65","        137.65","        137.16","   38928602","          5339416418.95","     135309"
